title,rating,ratingDescription,release_year,user_rating_size
White Chicks,PG-13,80,2004,80
Lucky Number Slevin,R,100,2006,82
Grey's Anatomy,TV-14,90,2016,80
Prison Break,TV-14,90,2008,80
How I Met Your Mother,TV-PG,70,2014,80
Supernatural,TV-14,90,2016,80
Breaking Bad,TV-MA,110,2013,80
The Vampire Diaries,TV-14,90,2017,80
The Walking Dead,TV-MA,110,2015,80
Pretty Little Liars,TV-14,90,2016,80
Once Upon a Time,TV-PG,70,2016,80
Sherlock,TV-14,90,2016,80
Death Note,TV-14,90,2006,80
Naruto,TV-PG,70,2008,80
The Hunter,R,100,2011,82
Lottie Dottie Chicken,TV-Y,10,2009,82
Arrow,TV-14,90,2015,80
Black Mirror,TV-MA,110,2016,80
The Originals,TV-14,90,2016,80
The 100,NR,124,2016,80
Masha and the Bear,TV-Y,10,2013,80
"Ã“ Pai, Ã“ - Look at This",TV-MA,110,2007,82
Nymphomaniac: Volume 1,NR,124,2013,82
Hunter X Hunter (2011),NR,124,2013,80
Marvel's Luke Cage,TV-MA,110,2016,80
Marvel's Iron Fist,TV-MA,110,2017,80
Narcos,TV-MA,110,2016,80
The Flash,TV-PG,70,2016,80
The Seven Deadly Sins,TV-14,90,2016,82
Scream,TV-14,90,2016,82
The Do-Over,TV-MA,110,2016,80
OperaÃ§Ãµes Especiais,TV-MA,110,2015,82
0.03,TV-MA,110,2016,82
Trollhunters,TV-Y7-FV,42,2016,80
Fearless,TV-14,90,2016,82
Hyena Road,R,100,2015,82
Santa Clarita Diet,TV-MA,110,2017,80
"Sex, Love and Therapy",NR,124,2014,82
White Girl,UR,124,2016,82
Girlboss,TV-MA,110,2017,80
City of God: 10 Years Later,TV-MA,110,2013,82
13 Reasons Why,TV-MA,110,2017,80
Sand Castle,TV-MA,110,2017,80
Salvador Martinha - Tip of the Tongue,TV-MA,110,2016,82
Sandy Wexler,TV-14,90,2017,80
O Amor no DivÃ£,TV-MA,110,2016,82
Stronger Than the World,NR,124,2016,82
Back and Forth,NR,124,2016,82
Happily Married,TV-14,90,2015,82
Pandora,TV-MA,110,2016,82
Lucky Number Slevin,R,100,2006,82
The Office (U.S.),TV-14,90,2012,80
Grey's Anatomy,TV-14,90,2016,80
Prison Break,TV-14,90,2008,80
90210,TV-14,90,2013,80
Gossip Girl,TV-14,90,2012,80
How I Met Your Mother,TV-PG,70,2014,80
Supernatural,TV-14,90,2016,80
Breaking Bad,TV-MA,110,2013,80
Parks and Recreation,TV-14,90,2015,80
Glee,TV-PG,70,2015,80
The Vampire Diaries,TV-14,90,2017,80
Family Guy,TV-MA,110,2015,80
Criminal Minds,TV-14,90,2016,80
Friends,TV-14,90,2003,80
The Secret Life of the American Teenager,TV-14,90,2013,80
One Tree Hill,TV-14,90,2011,80
The Walking Dead,TV-MA,110,2015,80
Pretty Little Liars,TV-14,90,2016,80
Shameless (U.S.),TV-MA,110,2016,80
New Girl,TV-14,90,2016,80
